,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t78,-1.872976,-8.00177,18.33697,35.178017,27.746025,-6.0055265,-2.8150012,12.413304,17.82806,-2.3006618,15.8356495,-4.4332943,-3.2642772,21.1907,12.941567
t88,-1.7071955,-7.7655497,17.240707,33.791096,26.745882,-5.729589,-2.7265453,12.288556,17.178585,-2.284891,15.570591,-4.2222037,-3.0128589,20.532314,12.783146
t93,-1.8735675,-7.9967074,18.394144,34.99304,27.864647,-5.9877005,-2.8288066,12.354519,18.033678,-2.3008995,15.837502,-4.3836803,-3.2684827,21.021198,13.014117
t126,-1.8325272,-7.9891434,18.203745,35.006645,27.753983,-6.0197835,-2.8210506,12.309333,18.076178,-2.281496,15.853766,-4.3960686,-3.2866528,20.965551,12.917435
t127,-1.8390034,-7.988292,18.242868,35.05806,27.761097,-6.031027,-2.8194642,12.263028,18.04064,-2.2720523,15.9372225,-4.403195,-3.2860882,20.956184,12.947496
t86,-1.6513474,-7.6947083,17.030272,33.2044,26.295994,-5.5683722,-2.5704682,12.371546,17.114496,-2.3264787,15.514371,-4.113059,-2.8569207,20.372154,12.871742
t87,-1.796935,-8.05248,18.45607,35.056858,27.614468,-5.9933186,-2.7076504,12.648873,18.290648,-2.3605437,15.655129,-4.397966,-3.2054374,21.105436,13.230138
t61,-1.800482,-7.992927,18.578989,34.965847,27.656767,-5.9345827,-2.7382448,12.589876,18.18317,-2.3213038,15.400982,-4.4395304,-3.2103384,21.208437,13.086498
t62,-2.0234294,-8.014374,18.58758,34.485237,27.403505,-6.0289617,-2.7068202,12.25206,18.1782,-2.338282,16.496874,-4.396631,-3.0821655,21.51718,13.483773
t114,-1.9661435,-8.017086,18.192223,34.225136,27.162418,-6.0513716,-2.745226,12.537582,18.254604,-2.3885112,16.438082,-4.3656163,-3.0255687,21.889782,13.573944
t134,-1.9442205,-8.019107,18.146334,34.108315,27.10074,-6.002776,-2.7248056,12.6029825,18.2262,-2.4181066,16.374636,-4.3638954,-2.9755511,21.90189,13.648584
t135,-1.9552847,-8.0225525,18.15574,34.119072,27.13943,-5.998033,-2.7295501,12.5909395,18.21669,-2.4166598,16.389694,-4.3577666,-2.9771252,21.885933,13.634897
t96,-1.9983854,-7.9397974,18.022413,34.131096,26.858757,-6.020943,-2.7832944,12.045411,17.939983,-2.3034956,16.279417,-4.344435,-3.069807,22.13168,13.498445
t97,-2.008233,-7.9642863,18.098011,34.20195,27.043715,-5.9583707,-2.7862444,12.187051,17.932817,-2.3006086,16.266184,-4.352454,-2.9967635,22.23603,13.547988
t95,-2.0023046,-7.961619,18.02636,34.112144,26.848225,-6.0127115,-2.7854898,12.097095,18.109968,-2.3363159,16.303434,-4.364956,-3.0461993,22.336388,13.514744
t148,-2.0381863,-7.96682,18.059757,34.143936,27.046936,-5.95649,-2.8031857,12.049323,17.930923,-2.2969723,16.241404,-4.3194356,-3.0067642,22.476706,13.637281
t149,-2.0383275,-7.9714212,18.063713,34.16356,27.062614,-5.9592814,-2.802363,12.058324,17.934689,-2.2973151,16.246828,-4.323214,-3.0050955,22.481443,13.641119
t115,-2.0300558,-7.9691415,18.100004,34.073055,27.046299,-5.9506383,-2.7832508,12.036907,18.091923,-2.305021,16.215958,-4.3316617,-3.0121675,22.41346,13.632295
