"","Tortuella_abietifolia","Malanea_setulosa","Pseudodiplospora_andamanica","Stenotis_peninsularis","Cynanchica_tenuifolia","Galium_rupifragum","Galium_junghuhnianum","Galium_bredasdorpense","Galium_ionicum","Asperula_setosa","Crucianella_gilanica","Rubia_austrozhejiangensis","Paederia_brasiliensis","Mycetia_parishii","Hedyotis_membranacea","Oldenlandia_ruelliformis","Oldenlandia_tonkinensis","Oldenlandia_herbacea","Spermacoce_tectanthera","Psychotria_paulae","Psychotria_salentana","Psychotria_tchoutoi","Psychotria_bisulcata","Psychotria_lindleyana","Psychotria_calliantha","Psychotria_simianensis","Amaracarpus_grandiflorus","Chassalia_betamponensis","Chassalia_pauciflora","Rudgea_mazanensis","Palicourea_sanchezii","Palicourea_wurdackii","Palicourea_vallis","Palicourea_botryocephala","Schradera_francoae","Prismatomeris_griffithii","Lasianthus_setulosus","Urophyllum_schmidtii","Ophiorrhiza_parviflora","Randia_altiscandens","Gardenia_invaginata","Duroia_genipoides","Didymosalpinx_callianthus","Canthium_cavaleriei","Canthium_horridulum","Canthium_bipinnatum","Keetia_namoyae","Psydrax_micans","Mussaenda_caudatiloba","Mussaenda_emeiensis","Timonius_densiflorus","Stenostomum_granulatum","Rondeletia_umbellulata","Rondeletia_lomensis","Tainus_pitreanus","Exostema_acuminatum","Manothrix_valida","Macroscepis_macrocorolla","Huernia_engleri","Desmidorchis_aucheriana","Blepharodon_angustifolium","Minaria_monocoronata","Matelea_trichopedicellata","Matelea_liesneri","Asclepias_californica","Asclepias_zanthodacryon","Stathmostelma_stipitatum","Cynanchum_junciforme","Ceropegia_hermannii","Ceropegia_neofurcata","Ceropegia_filiformis","Hoya_calycina","Hoya_hamiltoniorum","Dischidia_rostrata","Stephanotis_macrantha","Pentopetia_calycina","Pachypodium_enigmaticum","Baissea_erythrosticta","Tabernaemontana_chamelensis","Tabernaemontana_sessilifolia","Lacmellea_oblongata","Lacmellea_foxii","Rauvolfia_nitida","Kopsia_sumatrana","Aspidosperma_parvifolium","Aspidosperma_oblongum","Sebaea_exacoides","Orphium_frutescens","Lisianthius_quichensis","Canscora_macrocalyx","Gentianella_zaratei","Gentianella_vargasii","Swertia_mussotii","Gentianopsis_holopetala","Gentiana_chinensis","Gentiana_olivieri","Logania_crassifolia","Spigelia_macrophylla","Spigelia_anthelmia","Strychnos_pungens"
"Crucianella_gilanica",99.499018,99.499018,99.499018,99.499018,99.499018,13.736098,13.736098,13.736098,13.736098,12.191942,0,16.378018,36.030458,39.726542,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Rubia_austrozhejiangensis",99.499018,99.499018,99.499018,99.499018,99.499018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,0,36.030458,39.726542,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Paederia_brasiliensis",99.499018,99.499018,99.499018,99.499018,99.499018,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,0,39.726542,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Mycetia_parishii",99.499018,99.499018,99.499018,99.499018,99.499018,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,0,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Hedyotis_membranacea",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,0,24.773614,24.773614,25.04217,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_ruelliformis",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,0,24.243408,25.04217,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_tonkinensis",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,24.243408,0,25.04217,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_herbacea",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.04217,25.04217,25.04217,0,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_tectanthera",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,0,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_paulae",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.775232,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_salentana",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.775232,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_tchoutoi",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,0,16.968232,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.775232,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
