"","Nargedia_macrocarpa","Lepidostoma_polythyrsum","Malanea_sarmentosa","Oxyceros_longiflorus","Cynanchica_glareosa","Galium_ephedroides","Galium_azuayicum","Galium_andringitrense","Saprosma_distans","Coprosma_pseudocuneata","Hedyotis_shettyi","Hedyotis_hainanensis","Hedyotis_philippensis","Scleromitrion_cyananthum","Spermacoce_rosea","Spermacoce_fruticosa","Bouvardia_tenuis","Cordylostigma_stellarioides","Psychotria_alba","Psychotria_sylvatica","Psychotria_merrittii","Psychotria_winitii","Psychotria_cephaloides","Psychotria_maesenii","Psychotria_lovettii","Psychotria_rigescens","Psychotria_maleolens","Psychotria_cephalidantha","Psychotria_njumei","Psychotria_dwyeri","Psychotria_insignis","Psychotria_breviflora","Psychotria_winkleri","Chassalia_bipindensis","Palicourea_topoensis","Palicourea_galeottiana","Schradera_cubensis","Prismatomeris_albidiflora","Ophiorrhiza_subbracteata","Tarenna_harleyae","Tarenna_dasyphylla","Tarenna_bipindensis","Pavetta_refractifolia","Ridsdalea_macromera","Empogona_deightonii","Polysphaeria_lanceolata","Belonophora_talbotii","Vangueria_kerstingii","Ixora_jaherii","Ixora_baileyana","Sabicea_mapiana","Sabicea_solitaria","Hekistocarpa_minutiflora","Corynanthe_talbotii","Arachnothryx_flores-olverae","Timonius_gammillii","Machaonia_leonardorum","Machaonia_portoricensis","Suberanthus_×_angustatus","Erithalis_salmeoides","Bikkia_gaudichaudiana","Elaeagia_multinervia","Baynesia_lophophora","Lachnostoma_vanderwerffii","Gongronemopsis_philippinensis","Landolphia_glandulosa","Leichhardtia_nigriflora","Ditassa_weberbaueri","Ditassa_lanceolata","Gonolobus_membranaceus","Gonolobus_lanugiflorus","Gonolobus_colombianus","Gonolobus_tetragonus","Vincetoxicum_setosum","Vincetoxicum_rockii","Stenostelma_eustegioides","Aspidoglossum_biflorum","Cynanchum_racemosum","Ceropegia_panchganiensis","Hoya_silvatica","Parsonsia_macrophylla","Pentalinon_luteum","Odontadenia_kochii","Wrightia_lanceolata","Strophanthus_arnoldianus","Strophanthus_ledienii","Anodendron_affine","Tabernaemontana_undulata","Ochrosia_brevituba","Vinca_ispartensis","Aspidosperma_helstonei","Vallesia_conzattii","Fagraea_euneura","Anthocleista_nobilis","Swertia_macrosepala","Halenia_coreana","Gentiana_myrioclada","Centaurium_ameghinoi","Strychnos_johnsonii","Strychnos_ledermannii"
"Hedyotis_shettyi",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,0,3.994554,3.994554,25.04217,25.247694,25.247694,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Hedyotis_hainanensis",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,3.994554,0,3.968366,25.04217,25.247694,25.247694,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Hedyotis_philippensis",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,3.994554,3.968366,0,25.04217,25.247694,25.247694,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Scleromitrion_cyananthum",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,25.04217,25.04217,25.04217,0,25.247694,25.247694,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_rosea",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,0,12.7249,18.780078,23.115174,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_fruticosa",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,12.7249,0,18.780078,23.115174,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Bouvardia_tenuis",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,18.780078,18.780078,0,23.115174,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Cordylostigma_stellarioides",99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,23.115174,23.115174,23.115174,0,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_alba",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,34.637442,34.775232,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_sylvatica",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,34.637442,34.775232,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_merrittii",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,34.637442,34.775232,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_winitii",99.499018,99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,34.637442,34.775232,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
