,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t133,-2.294016,3.761911,11.296985,7.964368,6.9606056,6.2181945,4.369202,7.2953176,6.3918695,1.414749,2.9617589,2.9107819,6.8809147,4.604383,6.39068,7.826147,2.335366
t156,-2.2874303,3.7937174,11.213438,7.987748,7.000997,6.2372456,4.411161,7.2389207,6.4171176,1.4775196,3.0415936,2.8370216,6.782382,4.6774025,6.4723215,7.810064,2.3691142
t157,-2.2938771,3.7246263,11.302272,7.9319606,6.910911,6.2150364,4.3351774,7.3643365,6.3860526,1.380181,2.8725777,2.9856005,6.942129,4.528438,6.310221,7.8230505,2.3578105
t143,-2.2581053,3.747998,11.186739,8.034302,6.957198,6.324928,4.359211,7.312378,6.419183,1.4472516,2.8799796,2.9252641,6.8749685,4.588837,6.355804,7.802861,2.401292
t64,-2.1835043,3.7469647,11.227788,7.915818,7.0076914,6.21838,4.3783665,7.3614144,6.504296,1.4435673,2.8788946,3.0385313,6.965348,4.4783435,6.2666655,7.7275305,2.384854
t128,-1.9636592,3.7849576,11.362229,7.8562684,7.2472963,6.179348,4.4396467,7.2586875,6.4332347,1.4514271,3.0788481,2.9279516,6.8479867,4.584061,6.415313,7.7858925,2.2685196
t141,-1.9387003,3.794736,11.36094,7.873487,7.2692676,6.201535,4.4309096,7.2780333,6.407361,1.4307833,3.1072063,2.9007468,6.818215,4.6110654,6.4312973,7.8172755,2.2845564
t142,-1.9037691,3.8142638,11.318227,7.80705,7.303509,6.1815405,4.459525,7.364301,6.4151883,1.4388524,3.145255,2.9176292,6.8056483,4.5568776,6.340995,7.860933,2.3586802
t35,5.347949,6.6995077,6.0632834,5.4466844,6.1933155,4.409937,5.777803,4.2661533,5.958935,3.9520597,6.2278557,2.958281,6.098274,3.871781,6.7353435,5.918612,3.8296626
t58,-0.16502137,4.334064,11.903263,7.1153235,8.587412,5.628986,5.377631,6.4065,6.335915,2.1631153,3.8732316,2.4539762,6.388105,5.1487517,7.5528717,7.681485,1.1779495
t170,-0.20637509,4.350471,11.822865,7.1101093,8.601084,5.7001085,5.406605,6.3316946,6.382684,2.220982,3.9153144,2.5127432,6.373272,5.174628,7.5005198,7.7422915,1.1268475
