,models,stat,p value,hochberg_adjusted_p_value
38,logit_eigenvecs_xgb_autoenc_supervised,5.3463424439389815,1.0859213583765445e-07,3.0405798034543246e-06
39,logit_umap_xgb_umap,5.109570263049238,3.7898853125712257e-07,1.023269034394231e-05
40,phylnn_fill_means_xgb_eigenvecs,-5.044420654176515,5.298410515880661e-07,1.3775867341289718e-05
41,logit_eigenvecs_xgb_eigenvecs,4.9087800844471445,1.0514308723236822e-06,2.6285771808092053e-05
42,logit_umap_logit_umap_supervised,-4.896533407455777,1.1176308815793413e-06,2.682314115790419e-05
43,phylnn_fill_means_xgb_autoenc_supervised,-4.781837457998471,1.9669371022399135e-06,4.5239553351518014e-05
44,logit_autoencoded_xgb_autoenc_supervised,4.680502529671319,3.2090959803809587e-06,7.060011156838109e-05
45,logit_autoenc_supervised_xgb_autoenc_supervised,4.111917539038816,4.208732545194033e-05,0.000883833834490747
46,logit_autoencoded_xgb_eigenvecs,4.061657500675507,5.209711708919029e-05,0.0010419423417838058
47,logit_umap_logit_autoenc_supervised,4.0348877670406775,5.83123011474872e-05,0.0011079337218022568
48,logit_eigenvecs_xgb_autoencoded,3.7164902424687143,0.00021192755120149248,0.0038146959216268646
50,logit_umap_logit_autoencoded,3.572328370999665,0.0003687592820473557,0.005900148512757691
49,logit_autoenc_supervised_xgb_eigenvecs,3.581190053371126,0.0003566096024470882,0.006062363241600499
51,xgb_umap_xgb_autoenc_supervised,3.1799581182527112,0.001513115886153407,0.022696738292301104
52,logit_autoencoded_xgb_autoencoded,3.097303160970846,0.002001180291350116,0.028016524078901622
53,logit_eigenvecs_xgb_umap,2.9548471979667394,0.0031932591102692854,0.04151236843350071
54,xgb_eigenvecs_xgb_umap,-2.61309351318521,0.009092141969949138,0.10910570363938965
55,logit_autoenc_supervised_xgb_autoencoded,2.51360724695797,0.01208890532340672,0.13297795855747394
56,logit_eigenvecs_logit_umap,-2.4511594769882894,0.014390729877120608,0.1439072987712061
57,logit_autoencoded_xgb_umap,2.1329446959075766,0.03314484269130998,0.2983035842217898
58,xgb_autoencoded_xgb_autoenc_supervised,1.8758278508215165,0.060937247011085195,0.48749797608868156
59,logit_eigenvecs_logit_autoenc_supervised,1.7459529464672847,0.08109160695240603,0.5676412486668422
65,xgb_eigenvecs_xgb_autoenc_supervised,0.5073796564366987,0.6119877259310806,0.6119877259310806
60,logit_autoenc_supervised_xgb_umap,1.6136875852061898,0.10687514701507747,0.6412508820904648
64,logit_autoencoded_logit_autoenc_supervised,0.9204816721933694,0.357518089372063,0.715036178744126
63,xgb_umap_xgb_autoencoded,1.1646331805818289,0.244413970802539,0.7332419124076169
61,xgb_eigenvecs_xgb_autoencoded,-1.442108354164925,0.1495496367037617,0.7477481835188085
62,logit_eigenvecs_logit_autoencoded,1.187784846134616,0.23516845045403523,0.9406738018161409
