,0,1,2,3,4,5,6,7,8,9,10,11
t91,-3.134515,8.529936,1.5194864,13.706728,7.2322445,4.7857685,5.699796,1.7618115,0.62559503,10.045613,-0.75852334,9.042126
t96,-3.1944842,8.565234,1.5962906,13.781388,7.24695,4.710546,5.6656547,1.8350991,0.5914483,10.080102,-0.7404917,9.046223
t97,-3.1696017,8.5632925,1.5639724,13.75066,7.2319098,4.741679,5.666907,1.804913,0.59276253,10.078629,-0.73615605,9.034571
t108,5.0140104,-6.032668,5.73345,6.1437125,5.9212427,7.156804,6.9411407,1.5286964,6.0468655,3.510145,0.93873304,5.7340455
t109,5.0941644,-5.914812,5.8446116,6.246467,5.994501,7.270931,7.0031652,1.5791498,6.1509457,3.5787902,1.0208372,5.761329
t110,5.1140556,-5.9367766,5.846172,6.161674,5.910031,7.248726,7.037214,1.5066727,6.1668854,3.6106272,1.0393606,5.679051
t29,5.007871,-5.907155,5.7951055,6.2454834,6.006394,7.2767873,6.9075427,1.5105939,6.092221,3.4968665,0.9368733,5.7901793
t22,5.015559,-5.981565,5.757492,6.1761003,5.945572,7.2003646,6.9403925,1.505517,6.074769,3.511157,0.9415096,5.741557
t16,10.812123,6.6431713,0.81017053,8.947197,5.628983,2.0652344,3.2917862,4.6548715,2.0559099,8.778953,6.5250144,3.4994135
t35,10.50012,6.68398,1.0059471,9.069552,5.8901873,1.8287319,3.0808213,4.495335,1.9632595,8.8959875,6.3370223,3.6911693
t88,10.6008005,6.536853,1.0056864,9.1994915,5.828464,1.9964068,3.2128675,4.3788023,1.8230901,8.764088,6.4022894,3.6906264
t94,10.591708,6.6488976,0.9035278,9.116523,5.7760153,1.8545388,3.0536935,4.382197,1.8312984,8.84894,6.4356804,3.6713643
t95,10.624928,6.675778,0.8554744,9.112954,5.7446117,1.8562361,3.070881,4.3399787,1.7872342,8.840871,6.492713,3.6492758
t87,10.603926,6.633636,1.0132163,9.194746,5.913413,1.9205731,3.2186172,4.312896,1.7189803,8.738816,6.504502,3.8023562
t125,10.672311,6.7078776,0.7907532,9.093245,5.7384734,1.8944776,3.170181,4.282303,1.7546266,8.835787,6.569112,3.5867693
t126,10.661632,6.7961097,0.74197847,9.035641,5.7862997,1.8186152,3.205032,4.2223787,1.7117269,8.906803,6.564968,3.5300221
t48,10.597472,6.71301,0.9114806,9.136919,5.848076,1.8565648,3.165207,4.2795796,1.7377454,8.84965,6.503894,3.687685
t76,10.787947,6.729951,0.7902715,9.043802,5.6793294,1.9394836,3.214838,4.4228315,1.8973874,8.879032,6.545506,3.5238006
t77,10.798038,6.7852745,0.8340868,9.113228,5.70199,1.8751655,3.1718643,4.4207,1.9252585,8.946431,6.5466948,3.5872178
t12,10.829067,6.689021,0.8350693,8.998225,5.656122,2.0207593,3.2930865,4.607194,2.0256464,8.826498,6.543747,3.528909
t104,10.939105,5.970084,0.7315335,8.121191,5.139703,1.8926162,4.0539694,6.686524,2.796226,8.148453,6.48773,3.542474
t105,10.970831,6.0012183,0.70702136,8.156353,5.119582,1.897998,4.0346804,6.6710453,2.7095997,8.068257,6.5538893,3.4639454
t49,10.892828,6.0732183,0.8104379,8.10727,5.251619,2.0181923,4.019712,6.634822,2.8110356,8.058893,6.439244,3.459507
t55,10.837735,5.938969,0.78943205,7.8209553,5.240751,1.8885963,4.2160015,6.953561,2.8826208,8.022397,6.430515,3.5213082
t119,10.830144,5.804404,0.8575236,7.858284,5.1981845,1.7251754,4.236097,6.787293,2.9254744,8.117008,6.3432775,3.5426743
t120,10.76731,5.8984847,0.7315062,7.8578396,5.1051955,1.7735333,4.1077156,6.9176507,2.8911319,8.093322,6.4451075,3.6008737
t115,10.841467,5.813806,0.75834846,7.883916,5.0763483,1.6922926,4.1786017,6.8644533,2.8703213,8.123692,6.442488,3.5926151
t69,10.820681,5.920971,0.8695759,7.835312,5.3710423,1.9429734,4.2844057,6.849758,3.0072165,8.126201,6.290253,3.5775533
t70,10.854154,6.001333,0.7953049,7.8800955,5.292234,1.9498266,4.2111034,6.9233556,2.8944926,8.038398,6.4076166,3.4971116
t27,10.790504,5.9068375,0.85222924,7.8894506,5.295906,1.8941756,4.144387,6.8655,2.814056,7.9355345,6.4252152,3.4237955
t101,10.903055,5.9406424,0.8006273,7.9147735,5.216023,1.8567849,4.2064157,6.9149294,2.7793396,7.9482703,6.487304,3.4240954
t102,10.880882,5.8659353,0.8096319,7.9246645,5.2095923,1.7914866,4.3028183,6.7755938,2.8268263,7.9697576,6.4009457,3.44119
t11,10.496108,6.3134146,1.3599967,8.213849,5.974124,2.8414216,3.806824,5.8873496,3.5645165,8.280911,5.6793957,3.7223134
t7,10.384335,6.3492756,1.5016733,8.162913,6.1171484,3.0014987,3.8179393,5.837704,3.7437444,8.287338,5.5117126,3.7311838
t117,10.870228,6.266334,0.9734644,8.466332,5.5722117,2.542153,3.6493292,5.9613905,3.144514,8.435628,6.093489,3.589164
t118,10.851115,6.2970033,0.99087626,8.4190645,5.583297,2.5939977,3.6772263,6.009752,3.1763144,8.43935,6.0758924,3.564987
t65,10.875751,6.303609,0.92989576,8.493705,5.525517,2.537475,3.591139,5.9620223,3.0791667,8.447918,6.16068,3.575243
t54,10.927974,6.3211765,0.90911436,8.47132,5.5069766,2.5470042,3.6052628,6.033618,3.1200736,8.503683,6.1563487,3.5203402
t23,10.693534,6.3121085,1.1734637,8.386401,5.7889585,2.6916435,3.6844482,5.8876157,3.3442085,8.396481,5.8808575,3.6467721
t24,10.629666,6.319614,1.2374202,8.331268,5.85305,2.7606359,3.7299297,5.8118916,3.3971388,8.337107,5.820212,3.6937099
t36,10.769993,6.305622,1.1102611,8.434756,5.7237606,2.6308622,3.6585813,5.900806,3.2679179,8.408628,5.9512105,3.6341035
t37,10.850485,6.29411,1.0814877,8.58973,5.719964,2.420197,3.5753078,5.9437523,3.1451833,8.463866,5.999205,3.6036832
t4,10.035998,6.4029155,1.9635062,7.857408,6.581619,3.462526,3.931991,5.8166013,4.3954935,8.281482,5.0457706,3.7209582
t46,9.564622,6.3117247,3.2299156,6.887439,8.148872,4.2842746,4.3948455,5.1493926,5.6482778,8.180746,5.387398,3.4667096
t47,9.48969,6.336089,3.3031263,6.75727,8.164041,4.1966944,4.40627,5.0930786,5.7150307,8.224393,5.436064,3.370908
t92,9.613138,6.453133,3.372434,6.772497,8.401355,4.3121285,4.475702,4.9423532,5.6914296,8.122106,5.686189,3.5056212
t93,9.69463,6.404499,3.3231428,6.664494,8.421432,4.2351832,4.298156,4.905267,5.66279,8.005171,5.71782,3.3443558
t53,9.586617,6.354069,3.4841244,6.6623254,8.475852,4.4447913,4.415575,4.9097466,5.786466,8.158998,5.643633,3.4613028
t50,9.6458435,6.428233,3.3655527,6.696944,8.491088,4.269789,4.401072,4.911177,5.7096076,8.068009,5.732552,3.411476
t51,9.684337,6.5044036,3.3626244,6.847355,8.547534,4.3506317,4.523064,4.926178,5.6595163,8.079335,5.783951,3.5310493
t38,9.703053,6.4476495,3.3427436,6.7313266,8.483213,4.272501,4.3822374,4.9063063,5.666794,8.04172,5.72536,3.4165163
t113,9.688849,6.5409837,3.3593454,6.7856865,8.413804,4.269395,4.4356866,4.8672495,5.6089277,8.0643215,5.703051,3.5259635
t114,9.588846,6.616507,3.4869435,6.665466,8.550833,4.25462,4.607687,4.7917023,5.8241606,8.133101,5.7847023,3.5231924
t9,9.663292,6.4523273,3.243653,6.8874407,8.220489,4.248205,4.427082,5.0136924,5.5690894,8.115039,5.664221,3.5565176
t66,9.23129,5.8023567,3.228066,6.8673005,7.3778377,4.3774223,4.1607094,5.50302,5.7843857,8.491544,4.877631,3.1624212
t67,9.25981,5.837474,3.1858058,6.8918166,7.3970966,4.326971,4.1381316,5.547476,5.7298803,8.534026,4.8373485,3.1756504
t33,9.254637,5.8167176,3.1887898,6.887857,7.3321404,4.3029065,4.0713987,5.5625825,5.758103,8.516633,4.865265,3.1489005
t32,9.261944,5.840265,3.1256077,6.987377,7.3068733,4.375458,4.1695213,5.5466747,5.682487,8.555288,4.87513,3.220826
t30,9.239512,5.8455496,3.195213,6.915265,7.279294,4.3621798,4.0819206,5.5201235,5.7903805,8.507804,4.9519706,3.1959836
t85,9.3158655,5.839146,3.1118155,6.8789754,7.573685,4.133169,4.089937,5.6773376,5.6154695,8.569898,4.575627,3.09356
t86,9.2823925,5.917363,3.2106133,6.8147545,7.644828,4.2997527,4.2464833,5.5319576,5.7398505,8.546404,4.540938,3.048805
t83,9.34851,5.9152493,3.11361,6.8133616,7.473866,4.152804,4.1429577,5.6998057,5.6347356,8.60051,4.4494643,2.97641
t84,9.365058,5.8274837,3.218735,6.7050123,7.5314503,4.1678524,4.0851693,5.6570287,5.6879067,8.541137,4.5685086,2.9598525
t14,9.4047785,5.8754053,3.118014,6.6614475,7.3332157,4.0216923,3.9930165,5.7969007,5.5973873,8.550354,4.3548365,2.8261147
t81,9.4125185,5.9222074,3.0569847,6.802659,7.426105,4.050817,4.108616,5.7855887,5.5639553,8.608522,4.3816767,2.8913612
t82,9.359644,5.9312286,3.0882106,6.775434,7.4881535,4.1093926,4.139378,5.7352176,5.600286,8.627531,4.3564577,2.9440362
t40,9.340035,5.792384,3.2150452,6.64252,7.3969183,4.15844,4.0491095,5.7440376,5.7044196,8.585861,4.4234962,2.8551152
