,accepted_species,Assigned_group,number_of_species_in_group
6852,Gentiana verna,Gentiana,60
6874,Gentianella alborosea,Gentianella,17
6875,Gentianella amarella,Gentianella,17
6890,Gentianella austriaca,Gentianella,17
6894,Gentianella azurea,Gentianella,17
6905,Gentianella bellidifolia,Gentianella,17
6908,Gentianella bulgarica,Gentianella,17
6914,Gentianella campestris,Gentianella,17
6950,Gentianella caucasea,Gentianella,17
6952,Gentianella florida,Gentianella,17
6958,Gentianella germanica,Gentianella,17
6970,Gentianella magellanica,Gentianella,17
6974,Gentianella multicaulis,Gentianella,17
6976,Gentianella nitida,Gentianella,17
6993,Gentianella ramosa,Gentianella,17
6995,Gentianella selaginifolia,Gentianella,17
6996,Gentianella serotina,Gentianella,17
7021,Gentianella turkestanorum,Gentianella,17
7026,Gentianopsis barbata,Gentianopsis,11
7053,Gentianopsis barbellata,Gentianopsis,11
7078,Gentianopsis ciliata,Gentianopsis,11
7103,Gentianopsis crinita,Gentianopsis,11
7126,Gentianopsis detonsa,Gentianopsis,11
7151,Gentianopsis grandis,Gentianopsis,11
7176,Gentianopsis lanceolata,Gentianopsis,11
7201,Gentianopsis paludosa,Gentianopsis,11
7237,Gentianopsis simplex,Gentianopsis,11
7262,Gentianopsis thermalis,Gentianopsis,11
7287,Gentianopsis virgata,Gentianopsis,11
7289,Gomphocarpus fruticosus,Gomphocarpus,3
7313,Gomphocarpus physocarpus,Gomphocarpus,3
7315,Gomphocarpus sinaicus,Gomphocarpus,3
7336,Gongronemopsis tenacissima,Gongronemopsis,1
7372,Gonioma kamassi,Gonioma,2
7375,Gonioma malagasy,Gonioma,2
7387,Guettarda angelica,Guettarda,7
7398,Guettarda grazielae,Guettarda,7
7400,Guettarda heterosepala,Guettarda,7
7402,Guettarda platypoda,Guettarda,7
7421,Guettarda pohliana,Guettarda,7
7422,Guettarda speciosa,Guettarda,7
7424,Guettarda trimera,Guettarda,7
7426,Guettardella putaminosa,Guettardella,1
7429,Gymnema sylvestre,Gymnema,1
7553,Gynochthodes jasminoides,Gynochthodes,4
7555,Gynochthodes officinalis,Gynochthodes,4
7603,Gynochthodes parvifolia,Gynochthodes,4
7616,Gynochthodes umbellata,Gynochthodes,4
7628,Halenia asclepiadea,Halenia,4
7629,Halenia corniculata,Halenia,4
7654,Halenia elata,Halenia,4
7661,Halenia elliptica,Halenia,4
7696,Hamelia magnifolia,Hamelia,2
7697,Hamelia patens,Hamelia,2
7709,Hancornia speciosa,Hancornia,1
7712,Haplophyton cimicidum,Haplophyton,2
7726,Haplophyton crooksii,Haplophyton,2
7736,Hedyotis acutangula,Hedyotis,4
7739,Hedyotis fruticosa,Hedyotis,4
7742,Hedyotis lawsoniae,Hedyotis,4
7778,Hedyotis pruinosa,Hedyotis,4
7781,Heinsia crinita,Heinsia,1
7784,Helia alata,Helia,2
7788,Helia alba,Helia,2
7821,Hemidesmus indicus,Hemidesmus,1
7844,Heterophyllaea pustulata,Heterophyllaea,1
7858,Heterostemma brownii,Heterostemma,1
7867,Himalrandia tetrasperma,Himalrandia,1
7876,Himatanthus articulatus,Himatanthus,4
7901,Himatanthus bracteatus,Himatanthus,4
7903,Himatanthus drasticus,Himatanthus,4
7909,Himatanthus phagedaenicus,Himatanthus,4
7912,Hintonia latiflora,Hintonia,2
7932,Hintonia standleyana,Hintonia,2
7949,Hoffmannia strigillosa,Hoffmannia,1
7970,Holarrhena congolensis,Holarrhena,5
7972,Holarrhena curtisii,Holarrhena,5
7979,Holarrhena floribunda,Holarrhena,5
8001,Holarrhena mitis,Holarrhena,5
8002,Holarrhena pubescens,Holarrhena,5
8068,Hoodia currorii,Hoodia,3
8075,Hoodia gordonii,Hoodia,3
8117,Hoodia ruschii,Hoodia,3
8124,Hoppea dichotoma,Hoppea,2
8131,Hoppea fastigiata,Hoppea,2
8133,Hoya australis,Hoya,18
8191,Hoya bandaensis,Hoya,18
8212,Hoya bella,Hoya,18
8233,Hoya carnosa,Hoya,18
8272,Hoya cinnamomifolia,Hoya,18
8293,Hoya coronaria,Hoya,18
8314,Hoya diversifolia,Hoya,18
8335,Hoya fraterna,Hoya,18
8356,Hoya imperialis,Hoya,18
8377,Hoya lacunosa,Hoya,18
8398,Hoya latifolia,Hoya,18
8419,Hoya longifolia,Hoya,18
8440,Hoya multiflora,Hoya,18
8461,Hoya naumannii,Hoya,18
8466,Hoya obovata,Hoya,18
8487,Hoya ovalifolia,Hoya,18
8506,Hoya shepherdii,Hoya,18
8527,Hoya tsangii,Hoya,18
8552,Hunteria camerunensis,Hunteria,4
8557,Hunteria congolana,Hunteria,4
8570,Hunteria umbellata,Hunteria,4
8606,Hunteria zeylanica,Hunteria,4
8656,Hydnophytum formicarum,Hydnophytum,1
8661,Hymenodictyon floribundum,Hymenodictyon,2
8669,Hymenodictyon orixense,Hymenodictyon,2
8694,Ichnocarpus frutescens,Ichnocarpus,1
8697,Isertia haenkeana,Isertia,3
8718,Isertia hypoleuca,Isertia,3
8723,Isertia pittieri,Isertia,3
8730,Ixanthus viscosus,Ixanthus,1
8736,Ixora chinensis,Ixora,7
8741,Ixora coccinea,Ixora,7
8779,Ixora finlaysoniana,Ixora,7
8781,Ixora foetida,Ixora,7
8782,Ixora javanica,Ixora,7
8785,Ixora pavetta,Ixora,7
8786,Ixora undulata,Ixora,7
8799,Jasminanthes mucronata,Jasminanthes,1
8824,Keetia multiflora,Keetia,1
8831,Kibatalia laurifolia,Kibatalia,3
8839,Kibatalia macrophylla,Kibatalia,3
8840,Kibatalia maingayi,Kibatalia,3
8846,Knoxia roxburghii,Knoxia,2
8851,Knoxia sumatrensis,Knoxia,2
8853,Kopsia arborea,Kopsia,16
8961,Kopsia dasyrachis,Kopsia,16
9011,Kopsia deverrei,Kopsia,16
9019,Kopsia flavida,Kopsia,16
9029,Kopsia fruticosa,Kopsia,16
9056,Kopsia grandifolia,Kopsia,16
9065,Kopsia griffithii,Kopsia,16
9094,Kopsia hainanensis,Kopsia,16
9112,Kopsia lapidilecta,Kopsia,16
9117,Kopsia larutensis,Kopsia,16
9126,Kopsia macrophylla,Kopsia,16
9132,Kopsia pauciflora,Kopsia,16
9174,Kopsia profunda,Kopsia,16
9184,Kopsia singapurensis,Kopsia,16
9252,Kopsia tenuis,Kopsia,16
9263,Kopsia teoi,Kopsia,16
9302,Ladenbergia oblongifolia,Ladenbergia,1
9304,Lamprothamnus zanguebaricus,Lamprothamnus,1
9306,Lasianthus acuminatissimus,Lasianthus,7
9317,Lasianthus attenuatus,Lasianthus,7
9319,Lasianthus curtisii,Lasianthus,7
9320,Lasianthus cyanocarpus,Lasianthus,7
9321,Lasianthus fordii,Lasianthus,7
9330,Lasianthus gardneri,Lasianthus,7
9341,Lasianthus obliquinervis,Lasianthus,7
9342,Leichhardtia rostrata,Leichhardtia,1
9348,Leptactina densiflora,Leptactina,1
9349,Leptadenia arborea,Leptadenia,5
9353,Leptadenia lanceolata,Leptadenia,5
9369,Leptadenia madagascariensis,Leptadenia,5
9373,Leptadenia pyrotechnica,Leptadenia,5
9390,Leptadenia reticulata,Leptadenia,5
9392,Leptopetalum biflorum,Leptopetalum,1
9405,Leptostigma arnottianum,Leptostigma,1
9406,Lerchea bracteata,Lerchea,1
9415,Leuconotis eugeniifolia,Leuconotis,2
9417,Leuconotis griffithii,Leuconotis,2
9462,Lisianthius jefensis,Lisianthius,2
9463,Lisianthius seemannii,Lisianthius,2
