,models,stat,p value,hochberg_adjusted_p_value
45,logit_eigenvecs_xgb_autoencoded,7.855147491831397,6.191629100700267e-15,2.0432376032310883e-13
46,phylnn_fill_means_logit_umap_supervised,-7.804024433216689,9.196009791553458e-15,2.9427231332971066e-13
47,logit_umap_xgb_umap,7.570162348000029,5.4495184813342627e-14,1.6893507292136214e-12
48,logit_autoencoded_xgb_umap,6.737037861072634,2.057307981102219e-11,6.171923943306656e-10
49,logit_autoenc_supervised_xgb_umap,6.703386739672358,2.5797600545486e-11,7.481304158190941e-10
50,xgb_umap_xgb_autoenc_supervised,6.619902710526787,4.502398634961443e-11,1.260671617789204e-09
51,picante_xgb_autoencoded,-6.601806259766575,5.075795112670656e-11,1.3704646804210771e-09
52,picante_xgb_eigenvecs,-5.96416906826442,2.8574546934400195e-09,7.42938220294405e-08
53,logit_eigenvecs_logit_umap_supervised,-5.921554804971424,3.690929163333528e-09,9.22732290833382e-08
54,phylnn_fill_means_logit_autoencoded,-5.5588585396148105,3.0446746223791484e-08,7.307219093709956e-07
55,phylnn_fill_means_logit_umap,-5.534832915374913,3.4863282069412944e-08,8.018554875964977e-07
56,phylnn_fill_means_logit_autoenc_supervised,-5.51432474860807,3.9119959478295424e-08,8.606391085224993e-07
57,logit_umap_logit_umap_supervised,-5.478299653392599,4.784874455867271e-08,1.004823635732127e-06
58,logit_eigenvecs_xgb_umap,5.402014482116956,7.300702799082114e-08,1.4601405598164227e-06
59,xgb_eigenvecs_xgb_umap,-5.2654969411345345,1.5341246347400274e-07,2.914836806006052e-06
60,picante_xgb_autoenc_supervised,-5.221913074134341,1.937446639733195e-07,3.487403951519751e-06
61,logit_umap_supervised_logit_autoencoded,4.897823341946289,1.0396064061313103e-06,1.7673308904232277e-05
62,phylnn_fill_means_logit_eigenvecs,-4.8097731577690395,1.6134121656003175e-06,2.581459464960508e-05
63,logit_umap_supervised_logit_autoenc_supervised,4.711692429367217,2.61014559755466e-06,3.91521839633199e-05
64,xgb_umap_xgb_autoencoded,4.243969995425137,2.287175975081967e-05,0.00032020463651147535
65,phylnn_fill_means_xgb_autoenc_supervised,3.9295582456317435,8.772942293929059e-05,0.0011404824982107777
66,phylnn_fill_means_xgb_eigenvecs,3.2443105189441255,0.001195003242190876,0.01434003890629051
67,xgb_autoencoded_xgb_autoenc_supervised,2.36246737047103,0.018240378977588713,0.20064416875347585
68,phylnn_fill_means_xgb_autoencoded,2.1811966439695243,0.029274480194398676,0.2927448019439868
69,logit_eigenvecs_logit_umap,-1.802985982917768,0.07152726435737058,0.6437453792163352
72,logit_eigenvecs_logit_autoencoded,-1.4681771752233557,0.1421991218405982,0.8531947310435892
77,logit_umap_logit_autoenc_supervised,0.10987152517134337,0.9125212908926088,0.9125212908926088
71,xgb_eigenvecs_xgb_autoencoded,-1.4931774455416584,0.13553420253730283,0.9487394177611198
70,logit_eigenvecs_logit_autoenc_supervised,-1.5357357346757365,0.12474706735692782,0.9979765388554226
76,logit_autoencoded_logit_autoenc_supervised,-0.14235388473264413,0.8868135270129736,1.7736270540259471
74,phylnn_fill_means_xgb_umap,-0.6068288658932351,0.5440271345514012,2.1761085382056047
75,logit_umap_logit_autoencoded,0.23357887307191008,0.8153336722616129,2.4460010167848387
73,xgb_eigenvecs_xgb_autoenc_supervised,0.6875720425680958,0.49179483076309993,2.4589741538154994
