"","Malanea_ueiensis","Malanea_ursina","Dolianthus_kairoi","Pseudopyxis_depressa","Galium_×_himmelbaurianum","Galium_mucroniferum","Galium_filipes","Leptodermis_limprichtii","Leptodermis_lanata","Coprosma_fowerakeri","Scleromitrion_scleranthoides","Kadua_grantii","Spermacoce_aretioides","Spermacoce_omissa","Hexasepalum_gardneri","Bouvardia_tenuifolia","Psychotria_remota","Psychotria_densicostata","Psychotria_dolichocalyx","Psychotria_simmondsiana","Psychotria_schnellii","Amaracarpus_attenuatus","Geophila_emarginata","Rudgea_buntingii","Palicourea_lasseri","Palicourea_gaertneroides","Palicourea_yamayakatensis","Palicourea_phaneroneura","Palicourea_psittacina","Palicourea_valida","Eumachia_ramisulca","Notopleura_cincinalis","Gynochthodes_bucidifolia","Morinda_lucida","Gaertnera_velutina","Faramea_latifolia","Coussarea_ovalis","Lasianthus_depressineurus","Xanthophytum_setosum","Xanthophytum_capitatum","Acranthera_parviflora","Tarenna_gracilipes","Pavetta_herbacea","Randia_venezuelensis","Randia_gentryi","Randia_genipifolia","Ceriscoides_curranii","Polysphaeria_ntemii","Wendlandia_buddleacea","Rytigynia_verruculosa","Rytigynia_longipedicellata","Canthium_lucidum","Pyrostria_orbicularis","Psydrax_gynochthodes","Ixora_rudgeoides","Mussaenda_pingbianensis","Machaonia_martinicensis","Rondeletia_virgata","Hillia_palmana","Stapelia_×_meintjiesii","Sicyocarpus_cordifolius","Huernia_foetida","Landolphia_watsoniana","Leichhardtia_destituta","Leichhardtia_parva","Leichhardtia_nigriflora","Ditassa_ayangannensis","Metastelma_blodgettii","Metastelma_rodriguezii","Oxypetalum_aequaliflorum","Gonolobus_scaber","Asclepias_feayi","Asclepias_minutiflora","Pachycarpus_pachyglossus","Aspidoglossum_lanatum","Cynanchum_caudigerum","Cynanchum_batangense","Cynanchum_maasii","Cynanchum_tuberculatum","Ceropegia_ampliata","Ceropegia_longirostris","Hoya_juannguoana","Mandevilla_subcarnosa","Mandevilla_torosa","Parsonsia_curvisepala","Odontadenia_markgrafiana","Malouetia_glandulifera","Kibatalia_wigmanii","Neobracea_martiana","Tabernaemontana_stenosiphon","Allamanda_polyantha","Alyxia_torquata","Veratrilla_baillonii","Fagraea_euneura","Gyrandra_pauciflora","Gentianella_canosoi","Gentianella_heterosepala","Gentiana_spathulifolia","Mitreola_pedicellata","Spigelia_spruceana"
"Scleromitrion_scleranthoides",99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,0,17.155356,25.247694,25.247694,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Kadua_grantii",99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,17.155356,0,25.247694,25.247694,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_aretioides",99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,0,12.7249,13.972558,18.780078,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_omissa",99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,12.7249,0,13.972558,18.780078,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Hexasepalum_gardneri",99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,13.972558,13.972558,0,18.780078,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Bouvardia_tenuifolia",99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,18.780078,18.780078,18.780078,0,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_remota",99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,0,16.968232,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_densicostata",99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,0,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_dolichocalyx",99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,0,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_simmondsiana",99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,16.968232,0,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_schnellii",99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,16.968232,16.968232,0,18.039212,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Amaracarpus_attenuatus",99.499018,99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,18.039212,18.039212,18.039212,18.039212,18.039212,0,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,67.782866,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
