,0,1,2,3,4,5,6,7,8,9,10
t38,-0.3706717,1.2425009,0.82822895,13.974419,1.726501,4.412531,3.9680598,1.350068,7.8108697,7.460954,0.84736025
t39,-0.43357748,1.1906275,0.77840793,14.080518,1.6178094,4.4421678,4.0173607,1.2586921,7.77265,7.501809,0.7643526
t101,-0.3671061,1.0773872,0.9391743,13.98896,1.5322064,4.5161543,4.1219296,1.3148912,7.8406544,7.5839396,0.72055376
t102,-0.44090003,1.294311,0.8814506,14.0806875,1.6571051,4.3402286,3.8939075,1.2507252,7.9349804,7.430996,0.7515105
t29,-0.2223511,1.2032042,0.9715038,13.9672365,1.7775576,4.3517475,3.9879515,1.3608726,7.956972,7.5532804,0.73448277
t20,-0.13070121,1.2196399,0.5524154,14.349765,1.5844423,4.381734,3.7277503,1.0315,7.640476,7.818779,0.52856386
t34,-0.1542786,1.2412473,0.5818838,14.448383,1.7456976,4.5498886,3.5755322,0.9058998,7.71692,7.9653983,0.60785466
t86,-0.11963476,1.1355462,0.73627543,14.24936,1.6470405,4.479502,3.8100355,1.0651816,7.7426333,7.881347,0.56211215
t87,-0.16812263,1.2670934,0.64128006,14.355001,1.7013121,4.41046,3.6743355,0.96891963,7.821221,7.8533697,0.58694017
t31,-0.06631804,1.2012572,0.8932547,14.150751,1.7432319,4.373927,3.8501625,1.1922758,7.923327,7.755383,0.62084
t18,-0.27760234,1.236942,0.56906796,14.366041,1.6889833,4.467055,3.7725508,0.9999982,7.725986,7.807768,0.6112879
t6,-0.38932487,1.255151,0.5509141,14.339206,1.6261469,4.434556,3.8178325,0.9999372,7.7230477,7.706614,0.6221369
t49,1.8936666,3.5280294,12.668656,3.9331198,5.818064,5.128569,2.480636,4.9407625,0.8654948,0.8251778,6.5081196
t50,1.8405844,3.4455278,12.636152,4.0391164,5.894823,5.0637784,2.5763276,5.073252,0.77581674,0.8884589,6.5274796
t37,1.8404833,3.416376,12.685519,4.0577736,5.888614,5.1020784,2.5636854,5.09877,0.7878024,0.9237874,6.4644384
t40,1.8137716,3.3737278,12.694718,4.118613,5.9050074,5.114867,2.6150234,5.1391015,0.78322583,0.9981717,6.4678416
t41,1.9090073,3.5073988,12.724217,3.96007,5.8314447,5.1209455,2.5375924,4.9699135,0.85247415,0.82524544,6.5363617
t7,1.675707,3.139663,12.023201,3.7744906,7.9676623,4.7505794,2.8681028,3.7508848,-0.9427598,1.7345537,6.2872477
t3,1.6412431,3.1669433,11.926438,3.7998178,8.1237755,4.6333027,2.929119,3.710431,-1.090554,1.8235123,6.2694354
t63,2.004222,3.3939836,12.770968,4.052088,5.6430755,5.1222835,2.612757,5.0844316,1.028336,0.9906514,6.5144653
t64,2.0957422,3.4485548,12.897765,4.190972,5.656123,5.186122,2.5674398,5.0949583,1.0902407,0.9712967,6.4859085
t55,2.07678,3.356282,12.824351,4.102452,5.616517,5.097246,2.613682,5.188171,1.0384202,0.9879633,6.3927016
t83,1.2616861,3.1446078,12.338843,3.3307555,8.442013,4.4052744,3.375422,3.8223288,-1.3784325,1.3459213,7.0336556
t84,1.3367128,3.1255786,12.395259,3.4584856,8.373454,4.4799957,3.3353536,3.7167513,-1.3440433,1.2694262,6.9551177
t79,1.3093735,3.086112,12.311788,3.4826992,8.404602,4.445015,3.310391,3.7114115,-1.4139618,1.343078,6.9277987
t75,1.3156629,2.967922,12.14017,3.5104415,8.538026,4.43309,3.3614814,3.8134031,-1.545511,1.5004852,6.897374
t76,1.3042707,3.0656896,12.214273,3.468796,8.378089,4.4328084,3.272834,3.7517133,-1.443291,1.4216827,6.9464808
t47,1.1754773,3.1582377,12.26923,3.4642894,8.438185,4.3109107,3.2917736,3.6944363,-1.4035002,1.3472594,6.9110203
t28,1.4741478,3.154421,12.154908,3.5831027,8.238037,4.528265,3.173012,3.7539616,-1.2196453,1.5872927,6.667585
t15,1.4971833,3.1639197,12.118138,3.5868118,8.231579,4.520798,3.136268,3.7904267,-1.1936457,1.6368743,6.611135
t99,1.872369,2.9945621,12.035718,2.4892142,8.678381,4.8548436,3.5590749,4.4974456,-1.9400208,1.9073617,7.8469334
t100,1.8310701,3.0592782,11.888638,2.5470684,8.582384,4.8677597,3.5414097,4.4889107,-1.8467702,1.8609018,7.782479
t114,1.8682365,3.0329356,11.908207,2.5179005,8.52043,4.791007,3.6718757,4.409625,-1.9743367,1.8140612,7.713762
t115,1.8452073,3.1493814,11.914959,2.501342,8.602179,4.834768,3.6873205,4.446624,-1.9555527,1.7516327,7.721836
t88,1.7266237,3.015043,12.009699,2.6550128,8.556329,4.6128345,3.5946956,4.2422986,-1.9230969,1.7926699,7.6532683
t89,1.6870873,3.1068974,11.932521,2.7217913,8.528628,4.668655,3.5709786,4.2778773,-1.8343985,1.7191694,7.588914
t103,1.790052,3.2190592,11.834915,2.5312114,8.704572,4.712043,3.5955856,4.362492,-1.8825464,1.7761319,7.7679214
t104,1.7488585,3.1819203,11.901284,2.5639222,8.69764,4.7391043,3.4939415,4.376395,-1.7844707,1.8218474,7.762688
t62,1.723636,3.209268,11.8460045,2.5947478,8.704981,4.720402,3.5859804,4.3864384,-1.8629751,1.7444935,7.7569494
t46,1.6036131,3.2134805,11.844589,2.7625806,8.633795,4.6581717,3.5830147,4.308372,-1.8095566,1.6527452,7.627089
t77,1.7245644,3.1613193,11.952075,2.6900644,8.654625,4.7127995,3.4640384,4.2882795,-1.7176381,1.7414712,7.6601396
t78,1.746402,3.1744716,11.920116,2.7474852,8.548624,4.776794,3.4353976,4.2975235,-1.621303,1.7169498,7.5461235
t10,1.5276401,3.1740537,12.071169,3.6719398,8.150978,4.55992,3.0337288,3.7643747,-1.0963047,1.7024062,6.4380894
t11,1.6516534,3.209521,11.930809,3.8277862,8.161174,4.574026,3.0170176,3.7769942,-1.1448154,1.8890231,6.3832
t9,1.4691846,3.119538,12.0246525,3.585721,8.256331,4.550761,3.00927,3.6991944,-1.1901362,1.6718328,6.440116
t5,1.6028659,3.1442356,11.963856,3.7179801,8.134573,4.636828,2.9605567,3.700454,-1.0796742,1.7938524,6.305915
t4,1.098211,3.2116303,12.3440075,3.446354,8.274801,4.260615,3.2410061,3.747986,-1.2672862,1.2625599,6.96374
t44,2.116894,3.575127,12.855673,4.0014434,5.5575233,5.243074,2.5406315,4.824024,1.1786277,0.870601,6.817616
t118,2.09882,3.6101687,12.81035,3.9099762,5.532363,5.2578096,2.5153875,4.764198,1.1658074,0.8708631,6.8904147
t119,2.1490853,3.6589956,12.817362,3.9276612,5.5683584,5.315773,2.4789476,4.7789884,1.1348189,0.8080052,6.8169074
t58,2.0630383,3.6777813,12.772188,3.8878074,5.665161,5.3911176,2.3972387,4.781351,1.0816228,0.73418534,6.741358
t95,2.134343,3.5493598,12.8788595,4.0491133,5.5103874,5.211754,2.6141062,4.847918,1.1766285,0.86233085,6.830366
t96,2.1885297,3.526677,12.977219,4.144519,5.6130633,5.2214127,2.6035893,4.87019,1.2508453,0.8559118,6.794893
t92,2.260315,3.5743349,12.95797,4.1129627,5.560122,5.3151007,2.6019115,4.8734207,1.2160095,0.74960977,6.773006
t74,-1.0316452,13.570262,2.2099104,6.863824,1.6201369,5.544178,6.4479036,1.0126892,5.336717,3.7762399,4.027365
t93,-1.0306457,13.621753,2.2070963,6.8380737,1.7688346,5.565372,6.4441166,1.1604939,5.465083,3.816493,4.0007596
t94,-0.96882164,13.641704,2.1418617,6.7752414,1.751391,5.4926295,6.5068436,1.1457828,5.486816,3.7560828,4.0382347
t66,-0.9924708,13.557635,2.1610854,6.817173,1.6026684,5.4874034,6.5320354,1.0041587,5.403614,3.7362194,4.1199193
t67,-1.1117324,13.458834,2.1780174,6.8196874,1.682453,5.6008134,6.672808,1.0796247,5.4649224,3.7734263,4.216229
t30,-1.0675228,13.606208,2.1054232,6.7498374,1.5487237,5.539453,6.634902,0.93438536,5.4743705,3.6886578,4.229207
t59,-1.0003612,13.682786,2.0542903,6.6899066,1.6929147,5.497689,6.578945,1.0765901,5.543216,3.6550052,4.142628
t60,-1.0033569,13.685795,2.1206617,6.769143,1.6144214,5.5255656,6.483288,1.0021913,5.5455627,3.6923678,4.0907617
t2,1.6649315,3.2302356,11.949409,3.7931297,7.892585,4.7088237,2.8283489,3.7513294,-0.85717964,1.9129432,6.157129
t14,-2.1902297,13.977181,1.1073563,4.4865365,2.6976418,3.026225,3.755346,2.0701075,4.810569,2.6547017,3.7921288
t21,-2.2616963,13.883359,1.0994056,4.434054,2.6247866,2.8820248,3.7696562,2.002858,4.892401,2.5991495,3.758456
t110,-2.3362465,13.9844885,0.8630512,4.535104,2.770301,2.9828808,3.7476618,2.0439868,4.926341,2.853052,3.7345243
t111,-2.241771,13.923336,0.8262949,4.373946,2.7994816,2.9398177,3.680103,2.1402202,4.7776084,2.6959,3.7539344
t42,-2.209537,14.097798,0.9454591,4.4445934,2.714493,3.0379274,3.8646827,2.1449025,4.8206487,2.8077793,3.6759982
t43,-2.0994384,14.030946,0.93829566,4.4116774,2.829179,3.0271645,3.705933,2.1542692,4.707414,2.6775746,3.8265183
t33,-2.2776313,14.031548,1.0485978,4.6006207,2.6515718,3.1499543,3.8062637,2.1006567,4.87667,2.7941012,3.696343
t61,-2.3329458,14.016225,0.66797334,4.5130296,2.7979293,3.0378673,3.7324483,2.169171,4.8371034,2.9244754,3.7034214
t80,-2.3815866,14.024242,0.56514126,4.543587,2.8249574,3.0792818,3.7272801,2.195286,4.874056,2.999566,3.712367
t109,-2.4123893,13.892224,0.58487236,4.4442983,2.7494946,3.135921,3.5988274,2.28174,4.7290187,2.958398,3.5929918
t116,-2.382909,13.987554,0.5143451,4.504018,2.830169,3.065248,3.6664743,2.218172,4.829015,3.0231063,3.7089498
t117,-2.2881858,14.009241,0.5219635,4.3895407,2.8681617,3.054789,3.737572,2.2688694,4.7632966,2.8692684,3.7025397
t24,10.342338,4.6651435,4.0964475,3.7642634,6.7123013,3.4426541,2.5684824,-1.3275589,4.833894,4.2283854,4.791175
t25,10.31943,4.630501,4.0446806,3.8375425,6.6561623,3.513499,2.5049734,-1.3258586,4.73476,4.2650495,4.754571
t22,10.425888,4.7290907,4.129053,3.833045,6.642423,3.426507,2.4433477,-1.3591813,4.6942525,4.2202945,4.817434
t17,10.371812,4.6758113,4.070653,3.8332837,6.552201,3.4028869,2.4199202,-1.2605941,4.647654,4.2198787,4.7720423
t8,10.340771,4.6383357,4.0318975,3.8754787,6.539509,3.4242358,2.388237,-1.2639681,4.6124635,4.229746,4.7424393
t70,10.356938,4.6705117,4.077421,3.8555257,6.6797256,3.549613,2.4945922,-1.3700124,4.7260966,4.2717414,4.7833853
t81,10.292608,4.589634,4.0106397,3.8536525,6.8053713,3.6664867,2.5559103,-1.4525414,4.6718836,4.408907,4.7824235
t82,10.331872,4.6383886,4.0423484,3.893836,6.7081285,3.5802052,2.4799342,-1.4079671,4.6910725,4.304372,4.7515774
t12,10.727228,4.8664546,4.0407066,3.549072,7.1363654,3.7697737,2.9377258,-1.7209533,4.9766684,5.1278224,4.667781
t13,10.610379,4.8764024,3.9393945,3.5214283,7.0192394,3.8818018,2.9444323,-1.5545329,4.9857445,5.069709,4.5561533
t53,10.471632,4.761291,4.1262255,3.5540903,6.984057,3.8908067,2.9693885,-1.637826,4.865698,5.0827403,4.7406163
t54,10.576797,4.8603735,4.1107597,3.4871848,7.0921025,3.893729,3.0645564,-1.7063705,4.9036474,5.2082143,4.752278
t19,10.503254,4.7347083,4.102863,3.5247257,6.993373,3.9241066,2.9802952,-1.6436329,4.9270673,5.1301227,4.6766715
t45,10.674178,5.0011067,3.958821,3.315942,7.185884,4.046146,3.1954486,-1.6645722,5.0610533,5.3810124,4.6069927
t56,10.63616,5.048143,3.8749974,3.1747458,7.2274365,3.9723763,3.3715663,-1.6207882,5.155901,5.370722,4.442425
t57,10.585523,4.998756,4.05109,3.2374377,7.122691,3.995426,3.3112772,-1.7117648,5.166864,5.33915,4.5852633
t85,10.749359,4.9865713,3.9711723,3.2193239,7.203063,4.128998,3.2438643,-1.5974295,5.210912,5.3870883,4.5025253
t105,10.818947,5.1425333,3.977464,3.2887506,7.2186832,4.1550593,3.2588782,-1.6156081,5.250092,5.4949727,4.5692077
t106,10.711534,4.9977226,4.05282,3.1431925,7.2085176,4.1352267,3.366543,-1.6822429,5.253086,5.465982,4.53701
t26,10.534778,4.8940496,3.9850624,3.2343144,7.0250945,4.0254207,3.3139927,-1.550368,5.1144185,5.2593765,4.505763
t27,10.639029,4.9918985,3.9350777,3.1810906,7.1234207,4.1580305,3.3295047,-1.5646158,5.158473,5.41104,4.4785523
t112,11.56764,6.002127,3.638604,3.9848301,8.1903925,4.6872873,2.9999099,-1.3018037,5.295882,6.941597,4.031303
t113,11.517239,5.918241,3.73099,3.9322515,8.075542,4.651845,3.0346124,-1.3341218,5.226621,6.8533792,4.1318326
t65,11.588922,5.9547896,3.6604161,3.956005,8.159707,4.640384,2.9467566,-1.3248734,5.262887,6.873857,4.058651
t72,11.571258,5.8385367,3.795508,3.8752778,8.030429,4.6451035,2.95555,-1.3965619,5.1867285,6.834401,4.195286
t73,11.417577,5.952794,3.606022,3.8924508,8.063813,4.633178,3.133409,-1.375769,5.191442,6.777824,4.0227666
t107,11.47468,5.959694,3.670181,3.8795872,8.050881,4.6690283,3.0575838,-1.385093,5.167761,6.81925,4.082756
t108,11.476808,6.0323763,3.616913,3.8499193,8.079288,4.740162,3.1113725,-1.4399439,5.194692,6.8671484,4.030439
t35,11.505047,5.8338666,3.6698024,4.082025,8.1837435,4.491523,2.9888783,-1.2022061,5.3368006,6.732061,4.0684595
