,models,stat,p value,variable,hochberg_adjusted_p_value
31,logit_umap_supervised_logit_autoenc_supervised,6.655535818074982,6.383266754431017e-11,binary,3.000135374582578e-09
32,corHMM_phylnn_fill_means,-5.756334270346541,1.3734347691255674e-08,binary,6.31779993797761e-07
33,phylnn_fill_means_logit_umap,-4.34848306118969,1.610952425558838e-05,binary,0.0007249285915014771
34,phylnn_fill_means_logit_autoenc_supervised,-4.211316447075772,2.929298532996284e-05,binary,0.001288891354518365
35,phylnn_fill_means_logit_eigenvecs,-3.8863791241835273,0.0001131085259697,binary,0.0048636666166971005
36,phylnn_fill_means_logit_autoencoded,-3.776228092659687,0.0001750969084669,binary,0.0073540701556098
37,picante_logit_umap,-3.761169241399589,0.0001857223996336,binary,0.0076146183849776
38,logit_umap_xgb_autoenc_supervised,3.723968891911142,0.00021463402748,binary,0.0085853610992
39,phylnn_fill_means_xgb_umap,-3.636485143513327,0.0003001798706324,binary,0.011707014954663602
40,picante_logit_eigenvecs,-3.6271809177569225,0.0003109591526874,binary,0.0118164478021212
41,picante_xgb_umap,-3.566488428541384,0.0003906935682145,binary,0.0144556620239365
42,picante_logit_autoenc_supervised,-3.559078771772948,0.0004016449944235,binary,0.014459219799246002
43,logit_autoenc_supervised_xgb_autoenc_supervised,3.534297185192591,0.0004403966535216,binary,0.015413882873256
44,picante_logit_autoencoded,-3.317874784413989,0.0009620197338464,binary,0.032708670950777605
45,logit_eigenvecs_xgb_autoenc_supervised,3.230729205606089,0.0013024188670932,binary,0.042979822614075604
46,logit_autoencoded_xgb_autoenc_supervised,3.2286410112250468,0.0013117997411913,binary,0.0419775917181216
47,logit_eigenvecs_xgb_eigenvecs,3.144669267319135,0.0017450893415546,binary,0.054097769588192596
48,xgb_umap_xgb_autoenc_supervised,3.0959011373067145,0.0020538153333006,binary,0.061614459999018
49,logit_umap_xgb_eigenvecs,3.08482874748059,0.0021305707847924,binary,0.061786552758979596
50,phylnn_fill_means_xgb_autoencoded,-2.863922396456315,0.0043308490669176,binary,0.1212637738736928
51,logit_autoenc_supervised_xgb_eigenvecs,2.752154024494549,0.0060997725025702,binary,0.1646938575693954
52,xgb_eigenvecs_xgb_umap,-2.723234015013177,0.0066530457328396,binary,0.1729791890538296
53,picante_xgb_autoencoded,-2.681027306171992,0.0075418197765739,binary,0.18854549441434748
54,logit_autoencoded_xgb_eigenvecs,2.5154837604039626,0.0121474295130891,binary,0.2915383083141384
55,xgb_autoencoded_xgb_autoenc_supervised,2.2314883285757463,0.0260180077511593,binary,0.5984141782766639
56,logit_umap_xgb_autoencoded,1.826354570135926,0.0682944577500463,binary,1.5024780705010188
57,logit_autoenc_supervised_xgb_autoencoded,1.6603051589163502,0.0973764242763453,binary,2.0449049098032512
58,picante_xgb_eigenvecs,-1.5596821564981591,0.1193631655619348,binary,2.387263311238696
59,logit_eigenvecs_xgb_autoencoded,1.5173632096854406,0.1297025721865189,binary,2.464348871543859
60,xgb_eigenvecs_xgb_autoencoded,-1.5145468061036518,0.1304146818600667,binary,2.3474642734812003
61,phylnn_fill_means_xgb_eigenvecs,-1.4597973168588083,0.1448700247148664,binary,2.4627904201527286
62,logit_autoencoded_xgb_autoencoded,1.329312948513793,0.1842508003853283,binary,2.9480128061652526
63,phylnn_fill_means_xgb_autoenc_supervised,-1.2551058072001915,0.2099297886834245,binary,3.1489468302513672
64,picante_xgb_autoenc_supervised,-1.203183437104573,0.2293806627868526,binary,3.2113292790159362
65,xgb_umap_xgb_autoencoded,1.1375871323630171,0.2557477493265631,binary,3.32472074124532
66,logit_umap_logit_autoencoded,0.7827498064237494,0.4340833862194356,binary,5.209000634633227
67,logit_umap_xgb_umap,0.7768999115385135,0.4375245093169083,binary,4.812769602485991
68,logit_autoencoded_logit_autoenc_supervised,-0.6331376438639384,0.5268854037671349,binary,5.268854037671349
69,logit_eigenvecs_xgb_umap,0.5176304646105827,0.6049072285742355,binary,5.44416505716812
70,logit_autoenc_supervised_xgb_umap,0.4923594549138517,0.6226456626142765,binary,4.981165300914212
71,xgb_eigenvecs_xgb_autoenc_supervised,0.4653752625730629,0.6418318904508911,binary,4.492823233156237
72,logit_eigenvecs_logit_umap,-0.4394179059455507,0.6605172321739905,binary,3.963103393043943
73,logit_eigenvecs_logit_autoencoded,0.40484980258956,0.6857324520224883,binary,3.428662260112442
74,logit_umap_logit_autoenc_supervised,0.2500417966652549,0.8026407557583375,binary,3.21056302303335
75,logit_autoencoded_xgb_umap,0.1333891026620458,0.8939304631411806,binary,2.681791389423542
76,logit_eigenvecs_logit_autoenc_supervised,-0.0762537445367618,0.9392426863393684,binary,1.8784853726787367
77,picante_phylnn_fill_means,-0.0061390513194057,0.9951038204591426,binary,0.9951038204591426
