"","Thamnoldenlandia_ambovombensis","Gardeniopsis_longifolia","Nenax_cinerea","Malanea_panurensis","Coptophyllum_bracteatum","Carpacoce_curvifolia","Payera_decaryi","Galium_×_buekkense","Galium_shinasii","Galium_capreum","Galium_angulosum","Galium_leptum","Galium_grayanum","Galium_corsicum","Plocama_crucianelloides","Paederia_thorelii","Paederia_pilifera","Anthospermum_streyi","Oldenlandia_filicaulis","Kadua_parvula","Mitracarpus_capitatus","Tapanhuacanga_psyllocarpoides","Spermacoce_articularis","Spermacoce_lancea","Hexasepalum_rosmarinifolium","Manettia_lehmannii","Pentanisia_rubricaulis","Psychotria_pininsularis","Psychotria_cardenasii","Psychotria_anceps","Psychotria_marmeladensis","Psychotria_krukovii","Psychotria_breviflora","Psychotria_prismoclavata","Psychotria_cryptogrammata","Rudgea_phaneroneura","Palicourea_purdiei","Palicourea_clarkii","Palicourea_ottohuberi","Palicourea_pyramidalis","Palicourea_blakei","Palicourea_angustiflora","Palicourea_viridibractea","Eumachia_lyciiflora","Gaertnera_brevipedicellata","Faramea_platyneura","Coussarea_brevicaulis","Urophyllum_fuscum","Ophiorrhiza_radicans","Ophiorrhiza_glaucorosea","Ophiorrhiza_confertiflora","Ophiorrhiza_filistipula","Xanthophytum_involucratum","Acranthera_variegata","Pavetta_ruahaensis","Pavetta_gabonica","Coffea_pocsii","Diplospora_pubescens","Bullockia_setiflora","Ixora_rudasiana","Ixora_euosmia","Pseudomussaenda_flava","Neonauclea_pseudopeduncularis","Guettarda_viburnoides","Guettarda_rhabdocalyx","Chomelia_caurensis","Stenostomum_orbiculare","Rondeletia_pallida","Catesbaea_spinosa","Hoffmannia_larensis","Ambelania_acida","Schizoglossum_singulare","Ditassa_sobradoi","Metastelma_hirtellum","Matelea_rhynchocephala","Gonolobus_hystrix","Gonolobus_aristolochiifolius","Tassadia_leptobotrys","Scyphostelma_lechleri","Vincetoxicum_forrestii","Ceropegia_parvissima","Leptadenia_reticulata","Hoya_tauensis","Pachypodium_stenanthum","Galactophora_schomburgkiana","Lacmellea_ramosissima","Chironia_linoides","Exacum_millotii","Helia_alata","Symbolanthus_vasculosus","Gentianella_flaviflora","Gentianella_gracilis","Gentianella_vernicosa","Lomatogonium_sichuanense","Halenia_adpressa","Gentiana_dahurica","Tripterospermum_sumatranum","Bonyunia_minor","Spigelia_sphagnicola","Strychnos_toxifera"
"Galium_angulosum",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,24.240634,36.030458,36.030458,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_leptum",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,24.240634,36.030458,36.030458,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_grayanum",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,24.240634,36.030458,36.030458,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_corsicum",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,24.240634,36.030458,36.030458,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Plocama_crucianelloides",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,24.240634,24.240634,24.240634,24.240634,24.240634,24.240634,24.240634,0,36.030458,36.030458,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Paederia_thorelii",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,0,17.47206,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Paederia_pilifera",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,36.030458,17.47206,0,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Anthospermum_streyi",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,0,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_filicaulis",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,0,25.04217,25.247694,25.247694,25.247694,25.247694,25.247694,25.247694,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Kadua_parvula",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.04217,0,25.247694,25.247694,25.247694,25.247694,25.247694,25.247694,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Mitracarpus_capitatus",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,0,12.73307,13.187922,13.187922,13.972558,19.372072,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Tapanhuacanga_psyllocarpoides",99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,12.73307,0,13.187922,13.187922,13.972558,19.372072,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,70.409422,70.409422,70.409422,70.409422,70.409422,70.409422,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
