"","Guettardella_foveolata","Galium_araucanum","Galium_nigricans","Galium_kerneri","Galium_trifidum","Asperula_majoriflora","Saprosma_pubescens","Argostemma_pulchellum","Argostemma_oliganthum","Hedyotis_xinyiensis","Oldenlandia_ichthyoderma","Houstonia_croftiae","Tapanhuacanga_psyllocarpoides","Spermacoce_latifolia","Spermacoce_bradei","Manettia_glandulosa","Manettia_divaricata","Danais_comorensis","Schismatoclada_bracteata","Schismatoclada_humbertiana","Psychotria_neillii","Psychotria_wiakabui","Myrmecodia_angustifolia","Chassalia_betsilensis","Palicourea_costata","Eumachia_cephalantha","Eumachia_depauperata","Gynochthodes_artensis","Schradera_suaveolens","Faramea_schunkeana","Faramea_exemplaris","Faramea_papirifolia","Lasianthus_obovatibracteatus","Lasianthus_cereiflorus","Urophyllum_fuscum","Ophiorrhiza_ovata","Ophiorrhiza_jingxiensis","Pavetta_petiolaris","Pavetta_kyimbilensis","Coffea_rupicola","Coffea_cochinchinensis","Coffea_mayombensis","Wendlandia_tonkiniana","Pyrostria_phyllanthoidea","Peponidium_flavum","Peponidium_ankaranense","Ixora_lakshnakarae","Ixora_liberiensis","Ixora_pavetta","Henriquezia_verticillata","Rustia_venezuelensis","Uncaria_macrophylla","Timonius_rosselensis","Exostema_nitens","Deppea_hintonii","Stapelia_arenosa","Rhytidocaulon_molamatarense","Papuahoya_neoguineensis","Miraglossum_pilosum","Rhytidostemma_surinamense","Sarcolobus_oblongus","Orbea_dummeri","Orbea_verrucosa","Tromotriche_herrei","Blepharodon_angustifolium","Araujia_hassleriana","Oxypetalum_tomentosum","Funastrum_bilobum","Gonolobus_lewisii","Gonolobus_youroumaynensis","Vincetoxicum_stewartianum","Vincetoxicum_rotundifolium","Ceropegia_maculata","Ceropegia_haygarthii","Ceropegia_mucheveensis","Ceropegia_browniana","Ceropegia_differens","Ceropegia_montiphila","Riocreuxia_aberrans","Hoya_montelbanensis","Hoya_bandongii","Hoya_lanceolaria","Hoya_diptera","Dischidia_lancifolia","Dischidia_astephana","Forsteronia_myriantha","Wrightia_sirikitiae","Tabernaemontana_stapfiana","Tabernaemontana_humblotii","Tabernaemontana_alba","Parahancornia_fasciculata","Carissa_haematocarpa","Aspidosperma_macrophyllum","Vallesia_glabra","Fagraea_truncata","Neurotheca_loeselioides","Gentianella_zaratei","Gentianella_maddenii","Halenia_viridis","Gentiana_cachemirica"
"Oldenlandia_ichthyoderma",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,0,25.04217,25.247694,25.247694,25.247694,25.247694,25.247694,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Houstonia_croftiae",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.04217,25.04217,0,25.247694,25.247694,25.247694,25.247694,25.247694,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Tapanhuacanga_psyllocarpoides",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,0,13.187922,13.187922,19.372072,19.372072,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_latifolia",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,13.187922,0,12.7249,19.372072,19.372072,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_bradei",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,13.187922,12.7249,0,19.372072,19.372072,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Manettia_glandulosa",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,19.372072,19.372072,19.372072,0,6.562666,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Manettia_divaricata",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,19.372072,19.372072,19.372072,6.562666,0,44.032962,44.032962,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Danais_comorensis",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,0,10.017154,10.017154,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Schismatoclada_bracteata",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,10.017154,0,5.008577,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Schismatoclada_humbertiana",99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,44.032962,10.017154,5.008577,0,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_neillii",99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,0,16.968232,18.039212,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_wiakabui",99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,0,18.039212,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
