,accepted_family,Genus,accepted_species,accepted_species_w_author
1255,Loganiaceae,Antonia,Antonia ovata,Antonia ovata Pohl
1264,Apocynaceae,Apocynum,Apocynum androsaemifolium,Apocynum androsaemifolium L.
1269,Apocynaceae,Apocynum,Apocynum cannabinum,Apocynum cannabinum L.
1303,Apocynaceae,Apocynum,Apocynum pictum,Apocynum pictum Schrenk
1307,Apocynaceae,Apocynum,Apocynum venetum,Apocynum venetum L.
1346,Apocynaceae,Apteranthes,Apteranthes tuberculata,Apteranthes tuberculata (N.E.Br.) Meve & Liede
1347,Apocynaceae,Araujia,Araujia sericifera,Araujia sericifera Brot.
1383,Rubiaceae,Argostemma,Argostemma yappii,Argostemma yappii King
1387,Apocynaceae,Asclepias,Asclepias albicans,Asclepias albicans S.Watson
1391,Apocynaceae,Asclepias,Asclepias asperula,Asclepias asperula (Decne.) Woodson
1397,Apocynaceae,Asclepias,Asclepias cordifolia,Asclepias cordifolia (Benth.) Jeps.
1402,Apocynaceae,Asclepias,Asclepias curassavica,Asclepias curassavica L.
1504,Apocynaceae,Asclepias,Asclepias eastwoodiana,Asclepias eastwoodiana Barneby
1505,Apocynaceae,Asclepias,Asclepias eriocarpa,Asclepias eriocarpa Benth.
1512,Apocynaceae,Asclepias,Asclepias glaucescens,Asclepias glaucescens Kunth
1516,Apocynaceae,Asclepias,Asclepias humistrata,Asclepias humistrata Walter
1517,Apocynaceae,Asclepias,Asclepias incarnata,Asclepias incarnata L.
1576,Apocynaceae,Asclepias,Asclepias labriformis,Asclepias labriformis M.E.Jones
1583,Apocynaceae,Asclepias,Asclepias latifolia,Asclepias latifolia (Torr.) Raf.
1586,Apocynaceae,Asclepias,Asclepias linaria,Asclepias linaria Cav.
1593,Apocynaceae,Asclepias,Asclepias mellodora,Asclepias mellodora A.St.-Hil.
1594,Apocynaceae,Asclepias,Asclepias ruthiae,Asclepias ruthiae Maguire
1595,Apocynaceae,Asclepias,Asclepias speciosa,Asclepias speciosa Torr.
1612,Apocynaceae,Asclepias,Asclepias subulata,Asclepias subulata Decne.
1624,Apocynaceae,Asclepias,Asclepias syriaca,Asclepias syriaca L.
1670,Apocynaceae,Asclepias,Asclepias tuberosa,Asclepias tuberosa L.
1722,Apocynaceae,Asclepias,Asclepias vestita,Asclepias vestita Hook. & Arn.
1744,Apocynaceae,Asclepias,Asclepias viridis,Asclepias viridis Walter
1753,Rubiaceae,Asperula,Asperula oppositifolia,Asperula oppositifolia Regel & Schmalh.
1758,Apocynaceae,Aspidosperma,Aspidosperma album,Aspidosperma album (Vahl) Benoist ex Pichon
1759,Apocynaceae,Aspidosperma,Aspidosperma auriculatum,Aspidosperma auriculatum Markgr.
1761,Apocynaceae,Aspidosperma,Aspidosperma australe,Aspidosperma australe Müll.Arg.
1762,Apocynaceae,Aspidosperma,Aspidosperma carapanauba,Aspidosperma carapanauba Pichon
1763,Apocynaceae,Aspidosperma,Aspidosperma cuspa,Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier
1764,Apocynaceae,Aspidosperma,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon Müll.Arg.
1767,Apocynaceae,Aspidosperma,Aspidosperma desmanthum,Aspidosperma desmanthum Benth. ex Müll.Arg.
1771,Apocynaceae,Aspidosperma,Aspidosperma discolor,Aspidosperma discolor A.DC.
1782,Apocynaceae,Aspidosperma,Aspidosperma duckei,Aspidosperma duckei Huber
1783,Apocynaceae,Aspidosperma,Aspidosperma eburneum,Aspidosperma eburneum Allemão ex Saldanha
1792,Apocynaceae,Aspidosperma,Aspidosperma excelsum,Aspidosperma excelsum Benth.
1822,Apocynaceae,Aspidosperma,Aspidosperma formosanum,Aspidosperma formosanum Duarte
1827,Apocynaceae,Aspidosperma,Aspidosperma limae,Aspidosperma limae Woodson
1829,Apocynaceae,Aspidosperma,Aspidosperma macrocarpon,Aspidosperma macrocarpon Mart.
1832,Apocynaceae,Aspidosperma,Aspidosperma marcgravianum,Aspidosperma marcgravianum Woodson
1862,Apocynaceae,Aspidosperma,Aspidosperma megalocarpon,Aspidosperma megalocarpon Müll.Arg.
1866,Apocynaceae,Aspidosperma,Aspidosperma multiflorum,Aspidosperma multiflorum A.DC.
1871,Apocynaceae,Aspidosperma,Aspidosperma nigricans,Aspidosperma nigricans Handro
1874,Apocynaceae,Aspidosperma,Aspidosperma oblongum,Aspidosperma oblongum A.DC.
1882,Apocynaceae,Aspidosperma,Aspidosperma obscurinervium,Aspidosperma obscurinervium Azambuja
1884,Apocynaceae,Aspidosperma,Aspidosperma olivaceum,Aspidosperma olivaceum Müll.Arg.
1890,Apocynaceae,Aspidosperma,Aspidosperma pachypterum,Aspidosperma pachypterum Müll.Arg.
1895,Apocynaceae,Aspidosperma,Aspidosperma parvifolium,Aspidosperma parvifolium A.DC.
1896,Apocynaceae,Aspidosperma,Aspidosperma polyneuron,Aspidosperma polyneuron Müll.Arg.
1901,Apocynaceae,Aspidosperma,Aspidosperma pyricollum,Aspidosperma pyricollum Müll.Arg.
1907,Apocynaceae,Aspidosperma,Aspidosperma pyrifolium,Aspidosperma pyrifolium Mart.
1925,Apocynaceae,Aspidosperma,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco Schltdl.
1943,Apocynaceae,Aspidosperma,Aspidosperma ramiflorum,Aspidosperma ramiflorum Müll.Arg.
1947,Apocynaceae,Aspidosperma,Aspidosperma spruceanum,Aspidosperma spruceanum Benth. ex Müll.Arg.
1950,Apocynaceae,Aspidosperma,Aspidosperma subincanum,Aspidosperma subincanum Mart.
1963,Apocynaceae,Aspidosperma,Aspidosperma tomentosum,Aspidosperma tomentosum Mart.
1976,Apocynaceae,Aspidosperma,Aspidosperma ulei,Aspidosperma ulei Markgr.
1979,Apocynaceae,Baroniella,Baroniella acuminata,Baroniella acuminata (Choux) Bullock
1984,Rubiaceae,Bathysa,Bathysa australis,Bathysa australis (A.St.-Hil.) K.Schum.
1985,Apocynaceae,Beaumontia,Beaumontia brevituba,Beaumontia brevituba Oliv.
1992,Apocynaceae,Beaumontia,Beaumontia grandiflora,Beaumontia grandiflora Wall.
2001,Apocynaceae,Beaumontia,Beaumontia murtonii,Beaumontia murtonii Craib
2008,Rubiaceae,Benkara,Benkara malabarica,Benkara malabarica (Lam.) Tirveng.
2009,Gentianaceae,Blackstonia,Blackstonia perfoliata,Blackstonia perfoliata (L.) Huds.
2019,Apocynaceae,Boucerosia,Boucerosia umbellata,Boucerosia umbellata (Haw.) Wight & Arn.
2026,Apocynaceae,Bousigonia,Bousigonia angustifolia,Bousigonia angustifolia Pierre ex Spire
2029,Apocynaceae,Bousigonia,Bousigonia mekongensis,Bousigonia mekongensis Pierre
2032,Rubiaceae,Bouvardia,Bouvardia ternifolia,Bouvardia ternifolia (Cav.) Schltdl.
2033,Rubiaceae,Breonadia,Breonadia salicina,Breonadia salicina (Vahl) Hepper & J.R.I.Wood
2036,Rubiaceae,Breonia,Breonia chinensis,Breonia chinensis (Lam.) Capuron
2048,Rubiaceae,Buchozia,Buchozia japonica,Buchozia japonica (Thunb.) Callm.
2049,Rubiaceae,Burchellia,Burchellia bubalina,Burchellia bubalina (L.f.) Sims
2050,Apocynaceae,Callichilia,Callichilia barteri,Callichilia barteri (Hook.f.) Stapf
2066,Apocynaceae,Callichilia,Callichilia inaequalis,Callichilia inaequalis Stapf
2071,Apocynaceae,Callichilia,Callichilia subsessilis,Callichilia subsessilis (Benth.) Stapf
2073,Apocynaceae,Calotropis,Calotropis gigantea,Calotropis gigantea (L.) W.T.Aiton
2093,Apocynaceae,Calotropis,Calotropis procera,Calotropis procera (Aiton) W.T.Aiton
2145,Rubiaceae,Calycophyllum,Calycophyllum spruceanum,Calycophyllum spruceanum (Benth.) Hook.f. ex K.Schum.
2162,Gentianaceae,Canscora,Canscora alata,Canscora alata (Roth) Wall.
2189,Gentianaceae,Canscora,Canscora diffusa,Canscora diffusa (Vahl) R.Br. ex Roem. & Schult.
2190,Rubiaceae,Canthium,Canthium berberidifolium,Canthium berberidifolium E.T.Geddes
2221,Apocynaceae,Caralluma,Caralluma plicatiloba,Caralluma plicatiloba Lavranos
2229,Apocynaceae,Caralluma,Caralluma stalagmifera,Caralluma stalagmifera C.E.C.Fisch.
2234,Rubiaceae,Carapichea,Carapichea affinis,Carapichea affinis (Standl.) L.Andersson
2243,Rubiaceae,Carapichea,Carapichea ipecacuanha,Carapichea ipecacuanha (Brot.) L.Andersson
2319,Rubiaceae,Carapichea,Carapichea klugii,Carapichea klugii (Standl.) C.M.Taylor
2329,Apocynaceae,Carissa,Carissa carandas,Carissa carandas L.
2337,Apocynaceae,Carissa,Carissa macrocarpa,Carissa macrocarpa (Eckl.) A.DC.
2338,Apocynaceae,Carissa,Carissa spinarum,Carissa spinarum L.
2386,Apocynaceae,Cascabela,Cascabela thevetia,Cascabela thevetia (L.) Lippold
2464,Apocynaceae,Cascabela,Cascabela thevetioides,Cascabela thevetioides (Kunth) Lippold
2468,Apocynaceae,Catharanthus,Catharanthus lanceus,Catharanthus lanceus (Bojer ex A.DC.) Pichon
2480,Apocynaceae,Catharanthus,Catharanthus longifolius,Catharanthus longifolius (Pichon) Pichon
2487,Apocynaceae,Catharanthus,Catharanthus ovalis,Catharanthus ovalis Markgr.
2509,Apocynaceae,Catharanthus,Catharanthus pusillus,Catharanthus pusillus (Murray) G.Don
2519,Apocynaceae,Catharanthus,Catharanthus roseus,Catharanthus roseus (L.) G.Don
2868,Apocynaceae,Catharanthus,Catharanthus trichophyllus,Catharanthus trichophyllus (Baker) Pichon
2897,Rubiaceae,Catunaregam,Catunaregam nilotica,Catunaregam nilotica (Stapf) Tirveng.
2904,Rubiaceae,Catunaregam,Catunaregam obovata,Catunaregam obovata (Hochst.) A.E.Gonç.
2910,Rubiaceae,Catunaregam,Catunaregam spinosa,Catunaregam spinosa (Thunb.) Tirveng.
2945,Gentianaceae,Centaurium,Centaurium cachanlahuen,Centaurium cachanlahuen (Molina) B.L.Rob.
2947,Gentianaceae,Centaurium,Centaurium erythraea,Centaurium erythraea Rafn
2993,Gentianaceae,Centaurium,Centaurium littorale,Centaurium littorale (Turner) Gilmour
2997,Gentianaceae,Centaurium,Centaurium pulchellum,"Centaurium pulchellum (Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis"
3007,Gentianaceae,Centaurium,Centaurium quadrifolium,Centaurium quadrifolium (L.) G.López & C.E.Jarvis
3012,Rubiaceae,Cephalanthus,Cephalanthus glabratus,Cephalanthus glabratus (Spreng.) K.Schum.
3014,Rubiaceae,Cephalanthus,Cephalanthus natalensis,Cephalanthus natalensis Oliv.
3019,Rubiaceae,Cephalanthus,Cephalanthus occidentalis,Cephalanthus occidentalis L.
3044,Rubiaceae,Cephalanthus,Cephalanthus salicifolius,Cephalanthus salicifolius Bonpl.
3045,Rubiaceae,Cephalanthus,Cephalanthus tetrandrus,Cephalanthus tetrandrus (Roxb.) Ridsdale & Bakh.f.
3053,Apocynaceae,Cerbera,Cerbera floribunda,Cerbera floribunda K.Schum.
3056,Apocynaceae,Cerbera,Cerbera inflata,Cerbera inflata S.T.Blake
3059,Apocynaceae,Cerbera,Cerbera manghas,Cerbera manghas L.
3120,Apocynaceae,Cerbera,Cerbera odollam,Cerbera odollam Gaertn.
3145,Rubiaceae,Ceriscoides,Ceriscoides turgida,Ceriscoides turgida (Roxb.) Tirveng.
3146,Apocynaceae,Ceropegia,Ceropegia juncea,Ceropegia juncea Roxb.
3148,Apocynaceae,Ceropegia,Ceropegia variegata,Ceropegia variegata Decne.
3172,Rubiaceae,Chassalia,Chassalia parvifolia,Chassalia parvifolia K.Schum.
3175,Rubiaceae,Chassalia,Chassalia subcoriacea,Chassalia subcoriacea (Ridl.) A.P.Davis
3176,Rubiaceae,Chimarrhis,Chimarrhis cymosa,Chimarrhis cymosa Jacq.
3177,Rubiaceae,Chimarrhis,Chimarrhis turbinata,Chimarrhis turbinata DC.
3207,Rubiaceae,Chiococca,Chiococca alba,Chiococca alba (L.) Hitchc.
3230,Rubiaceae,Chione,Chione venosa,Chione venosa (Sw.) Urb.
3241,Gentianaceae,Chironia,Chironia baccifera,Chironia baccifera L.
3245,Gentianaceae,Chironia,Chironia krebsii,Chironia krebsii Griseb.
3266,Gentianaceae,Chironia,Chironia palustris,Chironia palustris Burch.
3271,Gentianaceae,Chironia,Chironia purpurascens,Chironia purpurascens (E.Mey.) Benth. & Hook.f.
3276,Apocynaceae,Chonemorpha,Chonemorpha fragrans,Chonemorpha fragrans (Moon) Alston
3280,Rubiaceae,Ciliosemina,Ciliosemina pedunculata,Ciliosemina pedunculata (H.Karst.) Antonelli
3294,Rubiaceae,Ciliosemina,Ciliosemina purdieana,Ciliosemina purdieana (Wedd.) Antonelli
3325,Rubiaceae,Cinchona,Cinchona calisaya,Cinchona calisaya Wedd.
3389,Rubiaceae,Cinchona,Cinchona officinalis,Cinchona officinalis L.
3395,Rubiaceae,Cinchona,Cinchona pubescens,Cinchona pubescens Vahl
3488,Rubiaceae,Coelospermum,Coelospermum balansanum,Coelospermum balansanum Baill.
3493,Rubiaceae,Coelospermum,Coelospermum decipiens,Coelospermum decipiens Baill.
3494,Rubiaceae,Coelospermum,Coelospermum paniculatum,Coelospermum paniculatum F.Muell.
3498,Rubiaceae,Coelospermum,Coelospermum reticulatum,Coelospermum reticulatum (F.Muell.) Benth.
3557,Rubiaceae,Coffea,Coffea arabica,Coffea arabica L.
3849,Rubiaceae,Coffea,Coffea benghalensis,Coffea benghalensis B.Heyne ex Roth
3851,Rubiaceae,Coffea,Coffea brevipes,Coffea brevipes Hiern
3852,Rubiaceae,Coffea,Coffea canephora,Coffea canephora Pierre ex A.Froehner
3957,Rubiaceae,Coffea,Coffea charrieriana,Coffea charrieriana Stoff. & F.Anthony
3965,Rubiaceae,Coffea,Coffea congensis,Coffea congensis A.Froehner
3975,Rubiaceae,Coffea,Coffea eugenioides,Coffea eugenioides S.Moore
3994,Rubiaceae,Coffea,Coffea homollei,Coffea homollei J.-F.Leroy
3996,Rubiaceae,Coffea,Coffea humblotiana,Coffea humblotiana Baill.
4004,Rubiaceae,Coffea,Coffea humilis,Coffea humilis A.Chev.
4012,Rubiaceae,Coffea,Coffea kapakata,Coffea kapakata (A.Chev.) Bridson
4020,Rubiaceae,Coffea,Coffea kianjavatensis,Coffea kianjavatensis J.-F.Leroy
4031,Rubiaceae,Coffea,Coffea lancifolia,Coffea lancifolia A.Chev.
4033,Rubiaceae,Coffea,Coffea liberica,Coffea liberica W.Bull
4080,Rubiaceae,Coffea,Coffea pseudozanguebariae,Coffea pseudozanguebariae Bridson
4091,Rubiaceae,Coffea,Coffea racemosa,Coffea racemosa Lour.
4113,Rubiaceae,Coffea,Coffea salvatrix,Coffea salvatrix Swynn. & Philipson
4135,Rubiaceae,Coffea,Coffea sessiliflora,Coffea sessiliflora Bridson
4145,Rubiaceae,Coffea,Coffea stenophylla,Coffea stenophylla G.Don
4158,Rubiaceae,Coffea,Coffea travancorensis,Coffea travancorensis Wight & Arn.
4159,Rubiaceae,Coffea,Coffea vianneyi,Coffea vianneyi J.-F.Leroy
4160,Rubiaceae,Coffea,Coffea × heterocalyx,Coffea × heterocalyx Stoff.
4165,Gentianaceae,Comastoma,Comastoma tenellum,Comastoma tenellum (Rottb.) Toyok.
4172,Rubiaceae,Coprosma,Coprosma acerosa,Coprosma acerosa A.Cunn.
4177,Rubiaceae,Coprosma,Coprosma arborea,Coprosma arborea Kirk
4178,Rubiaceae,Coprosma,Coprosma areolata,Coprosma areolata Cheeseman
4180,Rubiaceae,Coprosma,Coprosma linariifolia,Coprosma linariifolia (Hook.f.) Hook.f.
4182,Rubiaceae,Coprosma,Coprosma lucida,Coprosma lucida J.R.Forst. & G.Forst.
4191,Rubiaceae,Coprosma,Coprosma propinqua,Coprosma propinqua A.Cunn.
4194,Rubiaceae,Coprosma,Coprosma pyrifolia,Coprosma pyrifolia (Hook. & Arn.) Skottsb.
4195,Rubiaceae,Coprosma,Coprosma repens,Coprosma repens A.Rich.
4196,Rubiaceae,Coprosma,Coprosma robusta,Coprosma robusta Raoul
4200,Rubiaceae,Coprosma,Coprosma rotundifolia,Coprosma rotundifolia A.Cunn.
4203,Rubiaceae,Coprosma,Coprosma tenuicaulis,Coprosma tenuicaulis Hook.f.
4205,Rubiaceae,Coprosma,Coprosma tenuifolia,Coprosma tenuifolia Cheeseman
4207,Rubiaceae,Coptosperma,Coptosperma nigrescens,Coptosperma nigrescens Hook.f.
4208,Rubiaceae,Cordiera,Cordiera macrophylla,Cordiera macrophylla (K.Schum.) Kuntze
4236,Rubiaceae,Cordiera,Cordiera sessilis,Cordiera sessilis (Vell.) Kuntze
4257,Rubiaceae,Corynanthe,Corynanthe johimbe,Corynanthe johimbe K.Schum.
4262,Rubiaceae,Corynanthe,Corynanthe macroceras,Corynanthe macroceras K.Schum.
4265,Rubiaceae,Corynanthe,Corynanthe pachyceras,Corynanthe pachyceras K.Schum.
4272,Rubiaceae,Corynanthe,Corynanthe paniculata,Corynanthe paniculata Welw.
4273,Rubiaceae,Coussarea,Coussarea brevicaulis,Coussarea brevicaulis K.Krause
4284,Rubiaceae,Coussarea,Coussarea hydrangeifolia,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.
4290,Rubiaceae,Coussarea,Coussarea macrophylla,Coussarea macrophylla (Mart.) Müll.Arg.
4300,Rubiaceae,Coussarea,Coussarea paniculata,Coussarea paniculata (Willd.) Standl.
4315,Rubiaceae,Coutarea,Coutarea hexandra,Coutarea hexandra (Jacq.) K.Schum.
4331,Gentianaceae,Coutoubea,Coutoubea spicata,Coutoubea spicata Aubl.
4336,Apocynaceae,Craspidospermum,Craspidospermum verticillatum,Craspidospermum verticillatum Bojer ex Decne.
4338,Apocynaceae,Crioceras,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus (Stapf) K.Schum.
4351,Rubiaceae,Crossopteryx,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel. ex G.Don) Benth.
4365,Rubiaceae,Crucianella,Crucianella graeca,Crucianella graeca Boiss.
4372,Rubiaceae,Crucianella,Crucianella maritima,Crucianella maritima L.
4375,Rubiaceae,Cruciata,Cruciata glabra,Cruciata glabra (L.) Opiz
4379,Rubiaceae,Cruciata,Cruciata laevipes,Cruciata laevipes Opiz
4388,Rubiaceae,Cruciata,Cruciata pedemontana,Cruciata pedemontana (Bellardi) Ehrend.
4394,Rubiaceae,Cruciata,Cruciata taurica,Cruciata taurica (Pall. ex Willd.) Ehrend.
4412,Rubiaceae,Cruckshanksia,Cruckshanksia pumila,Cruckshanksia pumila Clos
4414,Rubiaceae,Cruckshanksia,Cruckshanksia verticillata,Cruckshanksia verticillata Phil.
4416,Apocynaceae,Cryptolepis,Cryptolepis buchananii,Cryptolepis buchananii R.Br. ex Roem. & Schult.
4425,Apocynaceae,Cryptolepis,Cryptolepis nigrescens,Cryptolepis nigrescens (Wennberg) L.Joubert & Bruyns
4446,Apocynaceae,Cryptolepis,Cryptolepis obtusa,Cryptolepis obtusa N.E.Br.
4449,Apocynaceae,Cryptolepis,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta (Lindl.) Schltr.
4472,Apocynaceae,Cryptolepis,Cryptolepis sinensis,Cryptolepis sinensis (Lour.) Merr.
4473,Apocynaceae,Cryptostegia,Cryptostegia grandiflora,Cryptostegia grandiflora Roxb. ex R.Br.
4500,Apocynaceae,Cryptostegia,Cryptostegia madagascariensis,Cryptostegia madagascariensis Bojer ex Decne.
4503,Gentianaceae,Curtia,Curtia tenuifolia,Curtia tenuifolia (Aubl.) Knobl.
4509,Apocynaceae,Cyclocotyla,Cyclocotyla congolensis,Cyclocotyla congolensis Stapf
4512,Apocynaceae,Cynanchum,Cynanchum acutum,Cynanchum acutum L.
4516,Apocynaceae,Cynanchum,Cynanchum boudieri,Cynanchum boudieri H.Lév. & Vaniot
4550,Apocynaceae,Cynanchum,Cynanchum bungei,Cynanchum bungei Decne.
4565,Apocynaceae,Cynanchum,Cynanchum gracillimum,Cynanchum gracillimum Wall. ex Wight
4568,Apocynaceae,Cynanchum,Cynanchum grandidieri,Cynanchum grandidieri Liede & Meve
4569,Apocynaceae,Cynanchum,Cynanchum liukiuense,Cynanchum liukiuense Warb.
4570,Apocynaceae,Cynanchum,Cynanchum maximoviczii,Cynanchum maximoviczii Pobed.
4606,Apocynaceae,Cynanchum,Cynanchum ovalifolium,Cynanchum ovalifolium Wight
4610,Apocynaceae,Cynanchum,Cynanchum polyanthum,Cynanchum polyanthum K.Schum.
4616,Apocynaceae,Cynanchum,Cynanchum rostellatum,Cynanchum rostellatum (Turcz.) Liede & Khanum
4635,Apocynaceae,Cynanchum,Cynanchum thesioides,Cynanchum thesioides (Freyn) K.Schum.
4642,Apocynaceae,Cynanchum,Cynanchum viminale,Cynanchum viminale (L.) L.
4665,Apocynaceae,Cynanchum,Cynanchum wilfordii,Cynanchum wilfordii (Maxim.) Hook.f.
4688,Gentianaceae,Cyrtophyllum,Cyrtophyllum fragrans,Cyrtophyllum fragrans (Roxb.) DC.
4694,Rubiaceae,Damnacanthus,Damnacanthus indicus,Damnacanthus indicus C.F.Gaertn.
4706,Rubiaceae,Damnacanthus,Damnacanthus macrophyllus,Damnacanthus macrophyllus Siebold ex Miq.
